entity,reference,name,organisation_name,organisation_entity,resource_start_date
7010002179,99,"Land off Pednor Road, Chesham - Caravan Sites.",Buckinghamshire Council,67,2024-10-03
7010002180,100,Small parcel of land East of Lodge Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002181,101,"Land at Sibleys Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002182,102,"Land at The Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002183,103,OS parcel 3313 north of Welders Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002184,104,Re Land West of Lodge Lane - caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002185,105,"Land at Skimmers Orchard, Holmer Green - motor racing.",Buckinghamshire Council,67,2024-10-03
7010002186,106,"Land at Skimmers Orchard, Holmer Green - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002187,107,"Land at Skimmers Orchard, Holmer Green - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002188,108,Land between Pednor Road and Drydell Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002189,109,Land between Pednor Road and Drydell Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002190,110,Land to the East side of Roberts Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002191,111,Land East of Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002192,112,Whole District excluding the Town of Chesham - Poultry production.,Buckinghamshire Council,67,2024-10-03
7010002193,241,"Area of Watchet Road, High Wycombe, edge of Chiltern District - poultry.",Buckinghamshire Council,67,2024-10-03
7010002194,289,"Land off Kings Ash, The Lee - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002195,290,"Land at Spurlands End, Beech Tree Road cross-roads - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002196,291,"Land at Spurlands End, Beech Tree Road cross-roads - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002197,292,OS Parcel 262 - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002198,293,"Land at Wycombe Heath Farm, Spurlands End - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002199,294,"Land at Wycombe Heath Farm, Spurlands End - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002200,295,Land at Phillipshill Farm off Old Shire Lane and Burtons Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002201,296,Land at Wyburn Wood off Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002202,297,"Land at Green Street Farm, Herts and Bucks border - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002203,298,"Land at Green Street Farm, Herts and Bucks border - Highway access.",Buckinghamshire Council,67,2024-10-03
7010002204,300,"Land to east of Potter Row, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002205,301,"Land nr Gravelly Way, Penn - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002206,302,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002207,304,Land West of Lodge Lane - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002208,305,"Land off Pednor Road, Chesham - Means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002209,306,"Land to the West of Jasons Hill, Ley Hill - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002210,307,Land at Misbourne Valley - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002211,308,OS parcel 3313 north of Welders Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002212,309,Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002213,353,3 parcels of land surrounding Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002214,400,Small parcel of Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002215,401,"Land off Amersham Road, nr Turners Wood drive - Residential extension, building and cartilage, means of enclosure and hard surfaces.",Buckinghamshire Council,67,2024-10-03
7010002216,402,Land at Wyburn Wood off Amersham Road - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002383,148281,"Land at Penn Wood, Beamond End - War Games.",Buckinghamshire Council,67,2024-10-03
7010002384,148333,"OS parcel 8349, 6265, 7466, off Bellingdon Road - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002385,148394,Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002386,148316,3 parcels of land surrounding Lodge Lane - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002387,148306,Land Southeast of Finch Lane - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002388,148349,"Land near Shardeloes House - Dwellings, enclosure, access, caravans/camping, motor racing and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002389,148311,Land at Phillipshill Farm off Old Shire Lane and Burtons Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002390,148345,"Land off Chartridge Lane, Chartridge - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002391,148302,"Land at Mount Wood Farm - Enclosure, access, mining, caravan sites, recreation, forestry, buildings and minerals.",Buckinghamshire Council,67,2024-10-03
7010002392,148299,"Land off Botley Road, Chesham - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002393,148385,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002394,148367,Land between Pednor Road and Drydell Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002395,148297,"Land at Penn Wood, Beamond End - off road vehicles.",Buckinghamshire Council,67,2024-10-03
7010002396,148319,"Strip Land at Sedges Farm, Great Missenden - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002397,158474,,Buckinghamshire Council,67,2024-10-03
7010002398,148295,"Land South of Sheepcote Dell Road, Holmer Green, including Land East of Earl Howe Road - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002399,148300,"Land to the East of Jasons Hill, Ley Hill - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002400,148320,"OS Parcel 5200, Windsor Lane, Little Kingshill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002401,148307,Land East of Amersham Road including OS parcel 9269 - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002402,148313,Land East of Amersham Road including OS parcel 0006 - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002403,148312,Land East of Amersham Road including OS parcel 0006 - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002404,148318,"Land North of Mill Farm, Chenies Bottom - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002405,167440,Whole District excluding the Town of Chesham - Poultry production.,Buckinghamshire Council,67,2024-10-03
7010002406,857184,Agricultural,Buckinghamshire Council,67,2024-10-03
7010002407,859788,"Land to north of North Park and West of St Andrews Church, Iver - the erection, construction, maintenance, improvement or alteration of a gate, fence, wall or other means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002408,857988,"Church lane, Wexham - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002409,148337,"OS parcel 1178, 1179, 1180 nr Asheridge Farm - Agricultural Buildings",Buckinghamshire Council,67,2024-10-03
7010002410,148287,OS parcel 449a and 447 East off Jordans Lane - Breeding and keeping of poultry.,Buckinghamshire Council,67,2024-10-03
7010002411,148393,OS parcel 3313 north of Welders Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002412,148348,Land at Beamond End Farm - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002413,148372,"Land off Kings Ash, The Lee - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002414,148381,"Land at Green Street Farm, Herts and Bucks border - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002415,148347,Land to the South of Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002416,148321,"Land below Chalk Lane, Hyde Heath - agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002417,148301,"Land on East side of Latimer Village, on Herts Bucks border - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002418,857186,"Land adjoining the east side of Marish Lane and Slade Oak Lane and the north side of Mirrie Lane, Denham - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002419,857685,"Fulmer Place Farm, Fulmer - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002420,858386,Fulmer - Agricultural,Buckinghamshire Council,67,2024-10-03
7010002421,858690,"Purton Lane/Farnham Park Lane, Farnham Royal - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002422,858989,"Dorney Wood Road, Burnham - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002423,859989,"Land West of Mansion Lane - immediately to the west and south row of cottages No's 110-148 Mansion Lane, Iver - Development",Buckinghamshire Council,67,2024-10-03
7010002424,148383,"Land to east of Potter Row, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002425,148398,"Land surrounding Nightingales Lane, 2290 meter long strip - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002426,148276,Land South of A413 in Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002427,148277,"OS parcel 1178, 1179. SE of Asheridge Farm - Restriction to camping.",Buckinghamshire Council,67,2024-10-03
7010002428,148329,"Land at Johnson’s Farm, North of Chesham Road, Bellingdon - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002429,148310,"Land off Amersham Road, nr Turners Wood drive - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002430,148288,Land east of Jordans Lane and north of Jordans Farm - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002431,148369,Land East of Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002432,148289,"Land North of Welders Lane, South of Jordans Way - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002433,148355,Land at rear of Chessfield Park - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002434,148327,"Land off Buslins Lane, North of Chesham Road - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002435,148331,"OS Parcels 3100, 2829 - Means of enclosure and agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002436,148357,"Land off Pednor Road, Chesham - Caravan Sites.",Buckinghamshire Council,67,2024-10-03
7010002437,148351,OS Parcel 262 - Caravan Sites.,Buckinghamshire Council,67,2024-10-03
7010002438,148314,Land on East Side of Vale Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002439,164405,,Buckinghamshire Council,67,2024-10-03
7010002440,148363,"Land at Skimmers Orchard, Holmer Green - motor racing.",Buckinghamshire Council,67,2024-10-03
7010002441,148326,"Land to the North of Blackthorne Lane, Ballinger - agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002442,148360,"Land at The Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002443,148350,"Land to South of Kiln Lane, Ley Hill - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002444,148293,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002445,148395,Small parcel of Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002446,859190,"Sunrise, Bangors Road North, Iver - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002447,859586,"Land to north-west of Amersham Road, Beaconsfield - the erection, construction, maintenance, improvement or alteration of a gate, fence, wall or other means of enclosure",Buckinghamshire Council,67,2024-10-03
7010002448,148296,"Land South of Sheepcote Dell Road, Holmer Green, including Land East of Earl Howe Road - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002449,148397,"Land North and East of Savecroft Farm, Bellingdon. In Relation to caravans and agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002450,148379,Land at Wyburn Wood off Amersham Road - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002451,148374,"Land at Spurlands End, Beech Tree Road cross-roads - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002452,148291,Land at Wilton Lane - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002453,148335,"Land at Swan Bottom, OS parcel 4729 - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
