organisation,cohort,name,collection,pipeline,endpoint,endpoint_url,licence,status,days_since_200,exception,resource,latest_log_entry_date,endpoint_entry_date,endpoint_end_date,resource_start_date,resource_end_date,cohort_start_date
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree-preservation-order,tree,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,ogl3,200,0.0,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-01-22,2021-10-29,,2024-01-11,,2020-03-01
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction,article-4-direction-area,be557dcef843918934b9216fd597a70b02cc5546a9bee9366985340bb3269045,https://services.southwark.gov.uk/assets/attach/194785/Article-4-direction-area.geojson,ogl3,200,0.0,,96d9f7161d55ee626f6ba695bb6f5135622fb48da9dd94dd2d0852d8be14ea8e,2025-01-22,2024-11-15,,2024-07-11,,2020-03-01
local-authority:SWK,RIPA-Beta,London Borough of Southwark,conservation-area,conservation-area,b431e9c6b7178db0847e8c5510d86b993dca23a0354fb792cb5dd871aa0f9854,https://services.southwark.gov.uk/assets/attach/194104/Conservation-Areas.geojson,ogl3,200,0.0,,f4fa318e4239fe72514a0cde9a711dacf17933a9a434b4782c2181f455593598,2025-01-22,2024-11-15,,2024-07-11,,2020-03-01
local-authority:SWK,RIPA-Beta,London Borough of Southwark,listed-building,listed-building-outline,7316a66a07a603601f09573e74d5031ea02979b2279f900bc9a632d6a4dba012,https://services.southwark.gov.uk/assets/attach/194140/Listed-buildings-outlines.geojson,ogl3,404,43.0,,,2025-01-22,2024-11-15,,,,2020-03-01
local-authority:SWK,RIPA-Beta,London Borough of Southwark,tree-preservation-order,tree-preservation-zone,0c83c1c9572e704f3d51c4a5dd5f950c5aa0e9ecf7353a009b03575beecf5a47,https://services.southwark.gov.uk/assets/attach/194775/Tree-preservation-order-zones.geojson,ogl3,200,0.0,,dbb1fdf4201ca2822eca5929958151922e76135b62b038e20c966704f559e862,2025-01-22,2024-11-21,,2024-12-11,,2020-03-01
local-authority:SWK,RIPA-Beta,London Borough of Southwark,tree-preservation-order,tree,0c83c1c9572e704f3d51c4a5dd5f950c5aa0e9ecf7353a009b03575beecf5a47,https://services.southwark.gov.uk/assets/attach/194775/Tree-preservation-order-zones.geojson,ogl3,200,0.0,,dbb1fdf4201ca2822eca5929958151922e76135b62b038e20c966704f559e862,2025-01-22,2024-11-21,,2024-12-11,,2020-03-01
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,article-4-direction,article-4-direction,No endpoint added,,,,,,,,,,,,
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,article-4-direction,article-4-direction-area,No endpoint added,,,,,,,,,,,,
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,conservation-area,conservation-area,No endpoint added,,,,,,,,,,,,
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,conservation-area,conservation-area-document,No endpoint added,,,,,,,,,,,,
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,listed-building,listed-building-outline,No endpoint added,,,,,,,,,,,,
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,tree-preservation-order,tree-preservation-order,No endpoint added,,,,,,,,,,,,
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,tree-preservation-order,tree-preservation-zone,No endpoint added,,,,,,,,,,,,
local-authority:DAC,RIPA-BOPS,Dacorum Borough Council,tree-preservation-order,tree,No endpoint added,,,,,,,,,,,,
local-authority:DNC,RIPA-BOPS,Doncaster Metropolitan Borough Council,article-4-direction,article-4-direction-area,667fc1598d817e6456c775277214067697b1e09f50b11c0111c5fdaaac756028,https://maps.doncaster.gov.uk/server/rest/services/Planning/Article_4/MapServer/6/,ogl3,200,0.0,,16290e6eab27f857ab46d12877e881b8ac7adc974a0657daa0cfd91d466b70da,2025-01-22,2024-11-07,,2024-11-08,,2022-01-21
local-authority:DNC,RIPA-BOPS,Doncaster Metropolitan Borough Council,conservation-area,conservation-area,0a3aaf764068310cc788b294d43436e49630a8095d81f9d1ee3ea085d62ea87a,https://maps.doncaster.gov.uk/server/rest/services/Planning/Heritage_Map/MapServer/0,,200,0.0,,376b1ffbff7da2df1615636ed7ebb4a63aceba50f17f812d5f854402ce42c370,2025-01-22,2022-11-01,,2022-11-11,,2022-01-21
local-authority:DNC,RIPA-BOPS,Doncaster Metropolitan Borough Council,listed-building,listed-building-outline,8c363105b8138f6471cd4a453a84f15870be417ed0624d4b12f7b39ba49306ed,https://maps.doncaster.gov.uk/server/rest/services/Planning/Heritage_Map/MapServer/1,ogl3,200,0.0,,f40d67fedd19e1e1a62b4562b27e327a689a4572aef8179d635ccd71eca8b709,2025-01-22,2022-11-01,,2024-08-23,,2022-01-21
local-authority:DNC,RIPA-BOPS,Doncaster Metropolitan Borough Council,tree-preservation-order,tree-preservation-zone,de1eb90a8b037292ef8ae14bfabd1184847ef99b7c6296bb6e75379e6c1f9572,https://maps.doncaster.gov.uk/server/rest/services/Planning/TPO_Map/MapServer/1,ogl3,200,0.0,,36ceb911631c69c70d62edf6cce37d4380bba4209f311d1436f81850a428e7c6,2025-01-22,2022-10-26,,2024-08-16,,2022-01-21
local-authority:DNC,RIPA-BOPS,Doncaster Metropolitan Borough Council,tree-preservation-order,tree,a05e76e962d438545a5a48c967cd2b1229ebc951a9a4a6d4d7ecad4379f0f1ca,https://maps.doncaster.gov.uk/server/rest/services/Planning/TPO_Map/MapServer/0/,ogl3,200,0.0,,0549c37800cefd888b1d596eda86cac01125d3cca278f53eaaf2fe4c5a4c7749,2025-01-22,2022-10-26,,2024-12-24,,2022-01-21
local-authority:GLO,RIPA-BOPS,Gloucester City Council,article-4-direction,article-4-direction-area,11ceb6807ca6320712e4b589a625e94a6efada5c41928b91579ee7abf236fcae,https://gcty.dynamicmaps.co.uk:8443/geoserver/Digital_Land/article_4_DL/wfs?service=wfs&request=GetFeature&TypeNames=Digital_Land%3Aarticle_4_DL&OutputFormat=GML2,ogl3,400,1.0,,,2025-01-22,2024-07-02,,,,2022-01-21
local-authority:GLO,RIPA-BOPS,Gloucester City Council,conservation-area,conservation-area,6dad8060cbdf75cf7c28c511b107a367e7c0435e04d130793b8464454bfd384c,https://gcty.dynamicmaps.co.uk:8443/geoserver/Digital_Land/conservation_areas_DL/wfs?service=wfs&request=GetFeature&TypeNames=Digital_Land%3Aconservation_areas_DL&OutputFormat=GML2,ogl3,400,1.0,,,2025-01-22,2024-08-07,,,,2022-01-21
local-authority:GLO,RIPA-BOPS,Gloucester City Council,listed-building,listed-building-outline,f569cf738abb48f8d9d2bda008b5e27716877dd84a22fa9edc463c288251fad8,https://gcty.dynamicmaps.co.uk:8443/geoserver/Digital_Land/listed_buildings_DL/wfs?service=wfs&request=GetFeature&TypeNames=Digital_Land%3Alisted_buildings_DL&OutputFormat=GML2,ogl3,400,1.0,,,2025-01-22,2024-08-13,,,,2022-01-21
local-authority:GLO,RIPA-BOPS,Gloucester City Council,tree-preservation-order,tree-preservation-zone,a7ef5696e5bf4f93041aad697819d972f9cce2687890a7af19090c49c3ba4570,https://gcty.dynamicmaps.co.uk:8443/geoserver/Digital_Land/tpo_polys_DL/wfs?service=wfs&request=GetFeature&TypeNames=Digital_Land%3Atpo_polys_DL&OutputFormat=GML2,ogl3,400,1.0,,,2025-01-22,2024-08-12,,,,2022-01-21
local-authority:GLO,RIPA-BOPS,Gloucester City Council,tree-preservation-order,tree,599237e24ea953f431090df305657e05d78d64e6e33adc00d907706676c46f4d,https://gcty.dynamicmaps.co.uk:8443/geoserver/Digital_Land/tpo_points_DL/wfs?service=wfs&request=GetFeature&TypeNames=Digital_Land%3Atpo_points_DL&OutputFormat=GML2,ogl3,400,1.0,,,2025-01-22,2024-08-12,,,,2022-01-21
local-authority:CMD,RIPA-BOPS,London Borough of Camden,article-4-direction,article-4-direction,22b68af5f133601d5bafc187546b06f0cfffb95a1a6166449cec471ac7ed6706,https://opendata.camden.gov.uk/api/views/ypia-t7j2/rows.csv,,200,0.0,,4e112cae3399b8ec71e0c3d9a28f077fc5f6e1dcb998bcabda4c7e3cc91958e4,2025-01-22,2023-09-05,,2024-11-01,,2022-01-21
local-authority:CMD,RIPA-BOPS,London Borough of Camden,article-4-direction,article-4-direction-area,3bbf7138bc9dacbf42700c5d114ba0c1856ae4cdc7c92360e95103ae59d38c0a,https://opendata.camden.gov.uk/api/views/45mg-zjup/rows.csv,,200,0.0,,5cb3c60422bbf48f8b47a88705c069581616927279a2736f0da426c9a54f9bd0,2025-01-22,2023-08-11,,2024-11-01,,2022-01-21
local-authority:CMD,RIPA-BOPS,London Borough of Camden,conservation-area,conservation-area,8fdf314ef9044149cd8df70e51838e385fdeda24be1be7bc6b3e402fda48f43a,https://opendata.camden.gov.uk/resource/geu8-xww8.csv,ogl3,200,0.0,,74dc15a9fcbdcad2a39f0f767dd56e9a731c62cae44bd760fcaa48d247f0f785,2025-01-22,2024-06-13,,2024-11-01,,2022-01-21
local-authority:CMD,RIPA-BOPS,London Borough of Camden,conservation-area,conservation-area-document,d9c1f90bebda35186029557b7ee6e60c951e25c20fb1599fd51860846198018d,https://opendata.camden.gov.uk/resource/3hsk-65x3.csv,ogl3,200,0.0,,8cbd64c3cf95526fd3e5b97dc20fb1062bc4357c3b65a4583de845e0f496f9e1,2025-01-22,2024-06-13,,2024-11-08,,2022-01-21
local-authority:CMD,RIPA-BOPS,London Borough of Camden,listed-building,listed-building-outline,431efe2f2cbc73eb181f67ce9cc27cc61f88236835eb2b3b96ee6a54ceb6458a,https://opendata.camden.gov.uk/api/views/uu3n-zgbj/rows.csv?accessType=DOWNLOAD,,200,0.0,,09eb2664a881a414c0cea45788ff95d630a4bad26045b91a06381b3b6d761ac4,2025-01-22,2023-09-29,,2024-11-04,,2022-01-21
local-authority:MDW,RIPA-BOPS,Medway Council,article-4-direction,article-4-direction-area,d779ad1c91c5a46e2d4ace4d5446d7d7f81df1ed058f882121070574697a5412,http://medwaymaps.medway.gov.uk/WFS/wfs.exe?service=WFS&version=2.0.0&request=GetFeature&TypeNames=DVL_ARTICLE_4,ogl3,200,0.0,,fa5900bc97020695e3bc650196a2aeb02f0d42681f5153019523ddbaa25903d7,2025-01-22,2022-06-30,,2023-11-09,,2022-01-21
local-authority:MDW,RIPA-BOPS,Medway Council,conservation-area,conservation-area,8bb6411b1390f7cc8e4e4a4005eaf9da9f0952d88018e223c2d3a43df52aa877,https://medwaymaps.medway.gov.uk/WFS/wfs.exe?service=WFS&version=2.0.0&request=GetFeature&TypeNames=DVL_CONSERVATION_AREAS,,200,0.0,,1f4b77e5993d5cf3c404224972ad9659907540b8834b6bb8d5716ec42c991903,2025-01-22,2023-10-18,,2024-06-20,,2022-01-21
local-authority:MDW,RIPA-BOPS,Medway Council,listed-building,listed-building-outline,29c2a158839842d4315d9280f3181a4273f67f0d349d706cfc3174c394b000ff,https://medwaymaps.medway.gov.uk/WFS/wfs.exe?service=WFS&version=2.0.0&request=GetFeature&TypeNames=DVL_LISTED_BUILDINGS,ogl3,200,0.0,,c55c1e6ad8bd18409b560be78ef0015359688dc486e2e2d30a34d729d8287377,2025-01-22,2022-07-25,,2023-02-03,,2022-01-21
local-authority:MDW,RIPA-BOPS,Medway Council,tree-preservation-order,tree-preservation-order,3aeef0b2fb0bb0c85a25bd4491b3c56f70924d6a8ae9d9e22764885965a2b4c7,https://medwaymaps.medway.gov.uk/WFS/wfs.exe?service=WFS&version=2.0.0&request=GetFeature&TypeNames=ENV_TREE_PRESERVATION_ORDERS,odc-by,200,0.0,,43e1034397c8af8ef6c11eaec0a92c836087852588a10b29a9198bc212778219,2025-01-22,2022-07-01,,2025-01-18,,2022-01-21
local-authority:MDW,RIPA-BOPS,Medway Council,tree-preservation-order,tree-preservation-zone,3aeef0b2fb0bb0c85a25bd4491b3c56f70924d6a8ae9d9e22764885965a2b4c7,https://medwaymaps.medway.gov.uk/WFS/wfs.exe?service=WFS&version=2.0.0&request=GetFeature&TypeNames=ENV_TREE_PRESERVATION_ORDERS,odc-by,200,0.0,,43e1034397c8af8ef6c11eaec0a92c836087852588a10b29a9198bc212778219,2025-01-22,2022-07-01,,2025-01-18,,2022-01-21
local-authority:NET,RIPA-BOPS,Newcastle City Council,article-4-direction,article-4-direction,345c6d1562d81d5e440acb797fb354f16188f03859286b0fbae7c339bf5cb87b,https://datamillnorth.org/download/vqxyn/78a9d52c-87ae-4e41-a891-dbfa7002870b/article4directionareas.csv,ogl3,200,0.0,,fe19432ae7c65205a25c4278609b5c58fe5b25a94ce1fc073e8ff573b369ef70,2025-01-22,2024-06-18,,2024-06-19,,2022-01-21
local-authority:NET,RIPA-BOPS,Newcastle City Council,article-4-direction,article-4-direction-area,345c6d1562d81d5e440acb797fb354f16188f03859286b0fbae7c339bf5cb87b,https://datamillnorth.org/download/vqxyn/78a9d52c-87ae-4e41-a891-dbfa7002870b/article4directionareas.csv,ogl3,200,0.0,,fe19432ae7c65205a25c4278609b5c58fe5b25a94ce1fc073e8ff573b369ef70,2025-01-22,2024-06-18,,2024-06-19,,2022-01-21
local-authority:NET,RIPA-BOPS,Newcastle City Council,conservation-area,conservation-area,0e8ed333f367c5f2fde2d103d0e2b9404dfb130796fa7e921d994af83f758606,https://datamillnorth.org/download/2rlwm/5785bd0c-b3d2-4724-b7f4-8b6f3ff231c9/conservation_areas.csv,,200,0.0,,8c2ee6ccefe0179571307641c0db89a43e8b4d8917b22abc797b752e61fdb279,2025-01-22,2023-10-10,,2024-05-08,,2022-01-21
local-authority:NET,RIPA-BOPS,Newcastle City Council,listed-building,listed-building-outline,a15cf992712968ed507792bb8e41ba7cb47732a15d35bd3c121e1fd0d85fe274,https://datamillnorth.org/download/listedbuildings/91298d09-45a6-4c6d-a909-11ec4eaab957/listedbuildings.csv,odc-by,200,0.0,,b044527ffedaca2cfab1744dbb0ece72007119d655d3f732356125a243767de1,2025-01-22,2022-07-01,,2024-06-08,,2022-01-21
local-authority:NET,RIPA-BOPS,Newcastle City Council,tree-preservation-order,tree-preservation-order,d551675f1579af9e69e105e9fe8f33fc4160dd8004fd6975863480e0d16b6337,https://datamillnorth.org/download/treepreservationorders/8aed98d7-cc84-4c3f-bd21-a75d6899f02c/TPOs_areas.csv,,404,61.0,,,2025-01-22,2022-07-01,,,,2022-01-21
local-authority:NET,RIPA-BOPS,Newcastle City Council,tree-preservation-order,tree-preservation-zone,d551675f1579af9e69e105e9fe8f33fc4160dd8004fd6975863480e0d16b6337,https://datamillnorth.org/download/treepreservationorders/8aed98d7-cc84-4c3f-bd21-a75d6899f02c/TPOs_areas.csv,,404,61.0,,,2025-01-22,2022-07-01,,,,2022-01-21
local-authority:NET,RIPA-BOPS,Newcastle City Council,tree-preservation-order,tree,84f6228e842a4a410c41ada01dcb50eb5e8a5a8f8299efe35ac24817698c8c75,https://datamillnorth.org/download/treepreservationorders/0ba9ca5d-a094-4c56-9931-ae8096006038/TPOs_points.csv,odc-by,404,61.0,,,2025-01-22,2022-07-01,,,,2022-01-21
local-authority:NED,RIPA-BOPS,North East Derbyshire District Council,conservation-area,conservation-area,5e15eba1bd113aa524840907df82132457c85491ceb2e448f5ffa42dff0a9c19,http://inspire.misoportal.com/geoserver/north_east_derbyshire_ned_conservation_areas/wfs?request=GetFeature&TypeName=north_east_derbyshire_ned_conservation_areas,,404,4.0,,,2025-01-22,2020-09-06,,,,2022-01-21
local-authority:BIR,ODP-Track1,Birmingham City Council,article-4-direction,article-4-direction,91d97dadb79ce25bf8bef023de03c8c2d68fba9579b5119d6e130b1760700d8f,https://maps.birmingham.gov.uk/server/rest/services/planx/PlanX/FeatureServer/1/query?where=1=1&outfields=*&f=geojson,ogl3,200,0.0,,8d90033321221f320199ce1e9f44822dd976fe11e9442dff84ce5329ccf2ad3c,2025-01-22,2024-09-25,,2025-01-22,,2023-03-01
local-authority:BIR,ODP-Track1,Birmingham City Council,article-4-direction,article-4-direction-area,f7803fa6e54c43e59b73b1659cc0776ed21352da138ec73e4b83ef64864de03a,https://maps.birmingham.gov.uk/server/rest/services/planx/PlanX/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,ogl3,200,0.0,,434dacea4b0a6c7db8cb45dcde2e435d4df64737c8e4d5e67270b1d4728129f6,2025-01-22,2024-09-24,,2025-01-22,,2023-03-01
local-authority:BIR,ODP-Track1,Birmingham City Council,conservation-area,conservation-area,1aa6059f066e9708c73868c00dd8e0092ba063299f62530d59deea5f6f164560,https://maps.birmingham.gov.uk/server/rest/services/planx/PlanX/FeatureServer/4/query?outFields=*&where=1%3D1&f=geojson,ogl3,200,0.0,,56317f55b0ae2c2cad837110ea3d1b392bb14b123a5b060584280c00cfc93ad7,2025-01-22,2024-09-24,,2025-01-22,,2023-03-01
local-authority:BIR,ODP-Track1,Birmingham City Council,conservation-area,conservation-area-document,19a19114f4ce19ab8984ee84787589123f6b69f8fe8dca8a59f8599b25039c77,https://maps.birmingham.gov.uk/server/rest/services/planx/PlanX/FeatureServer/5/query?where=1=1&outfields=*&f=geojson,ogl3,200,0.0,,2dba801db97f1870bc217817284cb09d5cb5726258ad7ed9e8394e55e2cec8d7,2025-01-22,2024-09-25,,2025-01-22,,2023-03-01
local-authority:BIR,ODP-Track1,Birmingham City Council,listed-building,listed-building-outline,dc655cc7187a5959cd573c93279f2c805d4ed680b5c2203d234fa2c703a41318,https://maps.birmingham.gov.uk/server/rest/services/planx/PlanX/FeatureServer/2/query?outFields=*&where=1%3D1&f=geojson,ogl3,200,0.0,,941d55b8d228c9771c51b7c7d13f319c0b7611b5b4c84294ccee9fa9b9694b8a,2025-01-22,2024-09-24,,2025-01-22,,2023-03-01
local-authority:BIR,ODP-Track1,Birmingham City Council,tree-preservation-order,tree-preservation-zone,2d3cb22e544acf2029c608a945e64943d2bec415ad2ad87aeabed9c7a58a903b,https://maps.birmingham.gov.uk/server/rest/services/planx/PlanX/FeatureServer/3/query?outFields=*&where=1%3D1&f=geojson,ogl3,200,0.0,,b3011396471af59d766408808b6c07d9e8a09b4b867948f9bf207610e08d74f3,2025-01-22,2024-09-24,,2025-01-22,,2023-03-01
local-authority:CAT,ODP-Track1,Canterbury City Council,article-4-direction,article-4-direction-area,351fdbd179616dcf25ce0c4498cbd7fd5a917c5bbedcbc6af9f3f23d546b484d,https://mapping.canterbury.gov.uk/arcgis/rest/services/External/Planning_Constraints_New/MapServer/3/query?where=1%3D1&text=&objectIds=&time=&geometry=&geometryType=esriGeometryPolygon&inSR=&spatialRel=esriSpatialRelIntersects&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&returnDistinctValues=false&resultOffset=&resultRecordCount=&queryByDistance=&returnExtentsOnly=false&datumTransformation=&parameterValues=&rangeValues=&f=geojson,,200,0.0,,587716a30d2909dfa1f3756fa7abfa39635504a130ef0836bcca67757e513786,2025-01-22,2021-11-11,,2024-10-24,,2023-03-01
local-authority:CAT,ODP-Track1,Canterbury City Council,conservation-area,conservation-area,fc00c8a1bd0212fe6ae7e8fe9be5bc15bcccd68faf39aa2555974d57a822aa12,https://mapping.canterbury.gov.uk/arcgis/rest/services/External/Planning_Constraints_New/MapServer/4/query?where=1%3D1&text=&objectIds=&time=&geometry=&geometryType=esriGeometryPolygon&inSR=&spatialRel=esriSpatialRelIntersects&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&returnDistinctValues=false&resultOffset=&resultRecordCount=&queryByDistance=&returnExtentsOnly=false&datumTransformation=&parameterValues=&rangeValues=&f=geojson,,200,0.0,,e39e0a1256d297795a32fa37a508718e7dd1f14d4bdfb8890c6a0cb61e54ab72,2025-01-22,2021-11-16,,2024-10-05,,2023-03-01
local-authority:CAT,ODP-Track1,Canterbury City Council,listed-building,listed-building-outline,fad9233216dbd89f5e1c5707d7ecc8a5b2e336b6270bd9652c78f877d255f49f,https://mapping.canterbury.gov.uk/arcgis/rest/services/External/Planning_Constraints_New/MapServer/7,,200,0.0,,400e9038bcd6829b48a461a778903895ada00e15ab75ccf6cc5a19601a947250,2025-01-22,2022-05-05,,2024-12-13,,2023-03-01
local-authority:EPS,ODP-Track1,Epsom and Ewell Borough Council,article-4-direction,article-4-direction,97447318ffa758035d8e13eabb61709e2d8e09950d63e344e1ec3a01d05b8120,https://maps.epsom-ewell.gov.uk/GetData.aspx?type=data&ds=article4csv&requesttype=json,ogl3,200,0.0,,d289512b7755f5e97ec7d41ff5c37ddea66b05618bcd10f9aa011dcb7f7295ed,2025-01-22,2024-07-17,,2024-07-17,,2023-03-01
local-authority:EPS,ODP-Track1,Epsom and Ewell Borough Council,article-4-direction,article-4-direction-area,99dd0c0c5c8d8b3d4250ac27ed6e5c04c7a0c661f7f5e698d84c140ac240d1bc,https://maps.epsom-ewell.gov.uk/getOWS.ashx?MapSource=EEBC/planx&service=WFS&version=1.1.0&request=GetFeature&Typename=article4areas,,200,0.0,,b4601330812f8710e184930f9d415e4beadd36399700d27e8836243001fc37e1,2025-01-22,2023-10-23,,2023-10-24,,2023-03-01
local-authority:EPS,ODP-Track1,Epsom and Ewell Borough Council,conservation-area,conservation-area,9247d952f3d1a3ad3ca513bb5c0169ffb7bd9b54c285fbc24eedf738fe17a9d5,https://maps.epsom-ewell.gov.uk/getOWS.ashx?MapSource=EEBC/planx&service=WFS&version=1.1.0&request=GetFeature&Typename=conservationareas,,200,0.0,,d16004ccd1b70612391b88cc5b7ffb423233540efa64296cf073fbd4b2be3af1,2025-01-22,2023-12-04,,2023-12-05,,2023-03-01
