organisation,cohort,organisation_name,pipeline,issue_type,severity,responsibility,count_issues,collection,endpoint,endpoint_url,latest_status,latest_exception,resource,latest_log_entry_date,endpoint_entry_date,endpoint_end_date,resource_start_date,resource_end_date
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,reference values are not unique,error,external,25.0,article-4-direction,cef4c02dacb006498d1c48729d2a18f3088b397132bce167e9b6c72f714b3a38,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/A4D_Merge/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,200,,090a4a90f160c121e491c1ddc3d7b4d232ecff0e4fe00f88bc9d38391b354cf4,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,conservation-area,,,,,conservation-area,,https://maps.buckscc.gov.uk/arcgis/services/PLANNING/RIPA_BOPS/MapServer/WFSServer?service=WFS&version=2.0.0&request=GetFeature&typeName=PLANNING_RIPA_BOPS:Conservation_Areas&outputFormat=GML2,,,e4dc58b27be4ee10a07b3cb0ca4d2597594e3a7c002906ac751806949c769106,2024-10-02,,,2024-07-19,2024-10-02
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,conservation-area,OSGB,warning,external,188.0,conservation-area,d027bc3baf8f1bdf299797a1c368c1144fd19cf431e30214baa5f92e1f6ab5c6,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Conservation_Areas_HE/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,200,,70389e80310d49aa33908651f09d7636ff0003215c0c9240195489aec29fb1df,2025-03-19,2024-10-01,,2024-12-11,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,conservation-area,invalid geometry - fixed,warning,external,8.0,conservation-area,d027bc3baf8f1bdf299797a1c368c1144fd19cf431e30214baa5f92e1f6ab5c6,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Conservation_Areas_HE/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,200,,70389e80310d49aa33908651f09d7636ff0003215c0c9240195489aec29fb1df,2025-03-19,2024-10-01,,2024-12-11,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,listed-building-outline,,,,,listed-building,,https://maps.buckscc.gov.uk/arcgis/services/PLANNING/RIPA_BOPS/MapServer/WFSServer?service=WFS&version=2.0.0&request=GetFeature&typeName=PLANNING_RIPA_BOPS:Listed_Buildings&outputFormat=GML2,,,82bee9422c36506cd5e1dce5ddcf1c786b1a644054a435567889b2afb4b7de42,2024-10-02,,,2024-07-19,2024-10-02
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,listed-building-outline,,,,,listed-building,94a72578ff9561e7c757a5812eae4db097baba276d39ef4a67d48916326b6ef9,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Listed_Buildings_HE/FeatureServer/0,200,,7408560abed10367b09e54ace3cdfb6bc62018b06f6b10f0fc1aa52839922042,2025-03-19,2024-11-27,,2024-11-28,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree,reference values are not unique,error,external,4374.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree,reference values are not unique,error,external,4374.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree,,,,,tree-preservation-order,74cb4c8a3ff8574c9bf438f492acddd078eac1f6da347fcd95dd1514ee086926,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders_CSB/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,200,,8fd6d1ec6bb19dcc6020c28793d3726d97e930e6428a94714ed5d730cfa7dcc8,2025-03-19,2024-10-01,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,invalid geometry - fixed,warning,external,28.0,tree-preservation-order,314ce9104c6e495d89317de2085d2bcbac1abe54e9f7cb068f35be8171eaa80b,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders_Aylesbury_Vale/FeatureServer/0/query?where=1%3D1&f=geojson&outFields=*,200,,159f13d435951d76b9d11515ebb4dc090b8e60b155ad5e1c6f78e5da535144c9,2025-03-19,2025-01-03,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,reference values are not unique,error,external,370.0,tree-preservation-order,314ce9104c6e495d89317de2085d2bcbac1abe54e9f7cb068f35be8171eaa80b,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders_Aylesbury_Vale/FeatureServer/0/query?where=1%3D1&f=geojson&outFields=*,200,,159f13d435951d76b9d11515ebb4dc090b8e60b155ad5e1c6f78e5da535144c9,2025-03-19,2025-01-03,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,invalid category value,error,external,419.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,invalid category value,error,external,419.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,patch,info,internal,849.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,patch,info,internal,849.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,reference values are not unique,error,external,848.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,reference values are not unique,error,external,848.0,tree-preservation-order,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,200,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-19,2025-01-03,,2025-01-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,invalid geometry - fixed,warning,external,4.0,tree-preservation-order,45d990e6122b78c0b4193f2df7099a1e2da7bdb03a55a52d268af83d4c23f19e,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders_CSB/FeatureServer/1/query?outFields=*&where=1%3D1&f=geojson,200,,388ffa6ceb8a6c6e72c9d1f94f6c3052474efc0b668fdcf31b34f97b5570d0db,2025-03-19,2025-01-03,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,no associated documents found for this area,error,external,1000.0,tree-preservation-order,45d990e6122b78c0b4193f2df7099a1e2da7bdb03a55a52d268af83d4c23f19e,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders_CSB/FeatureServer/1/query?outFields=*&where=1%3D1&f=geojson,200,,388ffa6ceb8a6c6e72c9d1f94f6c3052474efc0b668fdcf31b34f97b5570d0db,2025-03-19,2025-01-03,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,,,,,tree-preservation-order,,https://maps.buckscc.gov.uk/arcgis/services/PLANNING/TPO_AV/MapServer/WFSServer?request=GetFeature&service=WFS&typename=PLANNING_TPO_AV:Tree_Preservation_Orders__Aylesbury_Vale_,,,b4a1d264f71382f97ad6ff4b5993667f3770f4d5f5b3c9f731ab43c681e49df9,2024-10-02,,,2024-08-17,2024-10-02
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-zone,,,,,tree-preservation-order,,https://maps.buckscc.gov.uk/arcgis/services/PLANNING/TPO_CSB_WL/MapServer/WFSServer?request=GetFeature&service=WFS&typename=PLANNING_TPO_CSB_WL:Tree_Preservation_Orders_-_Woodlands__Chiltern___South_Bucks_,,,f82cab0fe4f838f6413ed4a0a70933c712768cd83ee2b33537fad9ee7747b5f6,2024-10-02,,,2023-10-24,2024-10-02
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,article-4-direction,missing value,error,external,12.0,article-4-direction,32e803298b278d83d5f58b1d12497f94c1cbf2f844428f3614f692c7f36c7eeb,https://www.lambeth.gov.uk/sites/default/files/2024-07/LBL_Article_4.csv,200,,5fb087124ab2e6fe410af19a1980915729c3c0900f9949fe26f1d7d7a864f1df,2025-03-19,2024-07-10,,2024-07-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,article-4-direction,missing value,error,external,12.0,article-4-direction,32e803298b278d83d5f58b1d12497f94c1cbf2f844428f3614f692c7f36c7eeb,https://www.lambeth.gov.uk/sites/default/files/2024-07/LBL_Article_4.csv,200,,5fb087124ab2e6fe410af19a1980915729c3c0900f9949fe26f1d7d7a864f1df,2025-03-19,2024-07-10,,2024-07-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,article-4-direction-area,invalid geometry - fixed,warning,external,1.0,article-4-direction,bed4f351349b9a0b2ec746d1650a01c37b5965ea75f2a8791c8c81483d439371,https://www.lambeth.gov.uk/sites/default/files/2024-07/LBL_Article_4_Area_GeoJSON.txt,200,,565974e9b7f4989fc45c9f702b9b66a958d141a3d98e038f2560ed3aa5535384,2025-03-19,2024-07-10,,2024-07-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,article-4-direction-area,missing value,error,external,223.0,article-4-direction,bed4f351349b9a0b2ec746d1650a01c37b5965ea75f2a8791c8c81483d439371,https://www.lambeth.gov.uk/sites/default/files/2024-07/LBL_Article_4_Area_GeoJSON.txt,200,,565974e9b7f4989fc45c9f702b9b66a958d141a3d98e038f2560ed3aa5535384,2025-03-19,2024-07-10,,2024-07-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,conservation-area,invalid geometry - fixed,warning,external,2.0,conservation-area,628fb9865d7fae424e7e6f324d3efdea744457334aa22bffea9e419cc6fe7d5b,https://gis.lambeth.gov.uk/arcgis/rest/services/LambethConservationAreas/MapServer/0/query?where=1%3D1&text=&objectIds=&time=&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&featureEncoding=esriDefault&f=geojson,200,,ac1d6c0b0d91d2adf62ddd784fa2e759e77004c8491a242d03e28252a33ed8e2,2025-03-19,2022-01-18,,2024-01-13,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,listed-building-outline,invalid geometry - fixed,warning,external,4.0,listed-building,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,https://opendata.arcgis.com/datasets/a0ea54c61b1f4bdfbe9605324cf70c81_0.geojson,200,,3011ff5e9ed59166a3fa9bb1c33b453cf6478caaef39583d7ef4f47f116fea6f,2025-03-19,2021-11-23,,2024-04-16,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,listed-building-outline,missing value,error,external,1.0,listed-building,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,https://opendata.arcgis.com/datasets/a0ea54c61b1f4bdfbe9605324cf70c81_0.geojson,200,,3011ff5e9ed59166a3fa9bb1c33b453cf6478caaef39583d7ef4f47f116fea6f,2025-03-19,2021-11-23,,2024-04-16,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,listed-building-outline,missing value,error,external,1.0,listed-building,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,https://opendata.arcgis.com/datasets/a0ea54c61b1f4bdfbe9605324cf70c81_0.geojson,200,,3011ff5e9ed59166a3fa9bb1c33b453cf6478caaef39583d7ef4f47f116fea6f,2025-03-19,2021-11-23,,2024-04-16,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,listed-building-outline,patch,info,internal,947.0,listed-building,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,https://opendata.arcgis.com/datasets/a0ea54c61b1f4bdfbe9605324cf70c81_0.geojson,200,,3011ff5e9ed59166a3fa9bb1c33b453cf6478caaef39583d7ef4f47f116fea6f,2025-03-19,2021-11-23,,2024-04-16,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,listed-building-outline,reference values are not unique,error,external,7.0,listed-building,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,https://opendata.arcgis.com/datasets/a0ea54c61b1f4bdfbe9605324cf70c81_0.geojson,200,,3011ff5e9ed59166a3fa9bb1c33b453cf6478caaef39583d7ef4f47f116fea6f,2025-03-19,2021-11-23,,2024-04-16,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,listed-building-outline,unknown entity - missing reference,error,external,1.0,listed-building,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,https://opendata.arcgis.com/datasets/a0ea54c61b1f4bdfbe9605324cf70c81_0.geojson,200,,3011ff5e9ed59166a3fa9bb1c33b453cf6478caaef39583d7ef4f47f116fea6f,2025-03-19,2021-11-23,,2024-04-16,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree,missing value,error,external,1.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree,missing value,error,external,1.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree,missing value,error,external,13.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree,missing value,error,external,13.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree,unknown entity - missing reference,error,external,13.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree,unknown entity - missing reference,error,external,13.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree-preservation-order,reference values are not unique,error,external,2467.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree-preservation-order,reference values are not unique,error,external,2467.0,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,200,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-19,2021-10-29,,2024-01-11,
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/article-4-direction.csv,,,68d835acf03eef420f167d46ee969de29a4f5e6e43684967d6466f645b196252,2024-05-22,,,2022-04-25,2024-05-22
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/Article%204%20_%20Public%20Houses.gpkg,,,5158d13bfc6f0723b1fb07c975701a906e83a1ead4aee598ee34e241c79a5f3d,2024-02-14,,,2022-04-07,2024-02-14
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/Article%204%20_%20HMO%20Bywater%20Place.gpkg,,,e6d6d0a60345c50b0f40292b9ed6fcbd567fc36816fc3ae7883af2a6a7dd875d,2024-02-14,,,2022-04-07,2024-02-14
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/Article%204%20_%20Class%20ZA%20_%20Demolition%20of%20commercial.gpkg,,,e8791be20829a2aa6cca0ba62250b6b43eadaec78ac7727271197931fb5f0a9d,2024-02-14,,,2022-04-07,2024-02-14
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/Article%204%20_%20HMO%20Henshaw%20Street.gpkg,,,9510b41e61d9af455792dc1b4eb80d7600671804b9e8788de32c61b1ce2435d1,2024-02-14,,,2022-04-07,2024-02-14
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/Article%204%20_%20Sunray%20Estate.gpkg,,,3c260999e00be5fc2617ed1aae7c8d4584ff76a6ab67baa8e0fc9e0272070056,2024-02-14,,,2022-04-07,2024-02-14
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/Article%204%20_%20offices%20in%20the%20Central%20Activities%20Zone.gpkg,,,d24b30e21b985a96716574cd47f5c39a859d6cb9916ad5244ca793f88b14ec3b,2024-02-14,,,2022-04-07,2024-02-14
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,,,,,article-4-direction,,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Southwark/Article%204%20-%20Class%20MA%20-%20Change%20of%20use%20from%20Class%20E%20to%20residential.gpkg,,,ef883258feab307b5730dc62cb4144172effdbd1ba02c0d68a4804aa397696d2,2024-02-14,,,2022-04-07,2024-02-14
local-authority:SWK,RIPA-Beta,London Borough of Southwark,article-4-direction-area,invalid geometry - fixed,warning,external,13.0,article-4-direction,be557dcef843918934b9216fd597a70b02cc5546a9bee9366985340bb3269045,https://services.southwark.gov.uk/assets/attach/194785/Article-4-direction-area.geojson,200,,96d9f7161d55ee626f6ba695bb6f5135622fb48da9dd94dd2d0852d8be14ea8e,2025-03-19,2024-11-15,,2024-07-11,
